;Anagallis arvensis;Anemone pavonina;Anthemis auriculata;Anthyllis hermanniae;Asphodelus ramosus;Blackstonia perfoliata;Centaurea solstitialis;Centaurium pulchellum;Cistus creticus;Cistus salvifolius;Crepis neglecta;Cuscuta epithymum;Echium plantagineum;Fumana arabica;Genista acanthoclada;Geranium robertianum;Hedypnois cretica;Heliotropium lasiocarpum;Lagoecia cuminoides;Lavandula stoechas;Linum trigynum;Medicago minima;Moenchia mantica;Onopordum tauricum;Orchis sancta;Ornithogalum sp.;Papaver argemone;Prasium majus;Ranunculus paludosus;Scandix sp.;Sedum confertiflorum;Serapias cordigera;Serapias vomeracea;Taraxacum sp.;Teucrium divaricatum;Tolpis barbata;Trifolium angustifolium;Trifolium arvense;Trifolium campestre;Trifolium glanduliferum;Tuberaria guttata
Labidostomis humeralis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Larinus sp. A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lasioglossum laticeps/mediterraneum;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lasioglossum lativentre/haesitans aff.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lasioglossum leucozonium;0;0;0;18;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
Lasioglossum malachurum (group);0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lasioglossum marginatum;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lasioglossum pygmaeum/pauperatum;0;0;0;0;3;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lasioglossum sp. B;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lasioglossum tricinctum (group);0;0;0;0;0;0;0;0;12;0;0;4;0;0;0;0;1;0;0;1;0;0;0;8;0;0;0;0;2;0;0;0;0;1;4;0;0;0;0;0;0
