"","Atlapetes gutturalis","Aulacorhynchus prasinus","Catharus ustulatus","Chamaepetes unicolor","Chiroxiphia linearis","Chlorophonia callophrys","Chlorospingus ophthalmicus","Columba fasciata","Columba flavirostris","Dacnis venusta","Elaenia flavogaster","Elaenia frantzii","Euphonia hirundinacea","Icterus galbula","Megarhynchus pitangua","Melanerpes aurifrons","Melozone leucotis","Mionectes olivaceus","Momotus momota","Myadestes melanops","Myiarchus tuberculifer","Myiodynastes luteiventris","Myiozetetes similis","Phainoptila melanoxantha","Pharomachrus mocinno","Pheucticus ludovicianus","Piculus rubiginosus","Piranga rubra","Procnias tricarunculata","Psilhorinus morio","Ramphastos sulfuratus","Semnornis frantzii","Tangara dowii","Tangara icterocephala","Thrauphis episcopus","Tityra semifasciata","Trogon aurantiiventris","Turdus assimilis","Turdus grayi","Turdus plebejus"
"Lycianthes synanthera",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malvaviscus arboreus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Mappia racemosa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mappia sp1 M_SD_019",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Marcgravia brownei",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matayba apetala",0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Maytenus sp1 M_SD_019",1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
"Meliosma idiopoda",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Miconia sp1 M_SD_019",1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"Nectandra davidsoniana",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
"Nectandra gentlei",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Nectandra hypoglauca",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Nectandra salicina",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nectandra sp1 M_SD_019",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nectandra sp2 M_SD_019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
